sentence,type,subject,direction,object,issue,source
"Current national plans on emissions cuts from big countries would lead to temperature rises of 2.5C above preindustrial levels, which would spell devastation and extreme weather around the world.",actor-issue,big countries,ambivalent,NA,temperature rise,gptlarge_baseline
"The chancellor also scrapped what she described as a ""failed scheme"" to improve the energy efficiency of poorer households, which was also funded through bills.",actor-actor,Labour,opposition,NA,energy efficiency scheme for poorer households,gptlarge_baseline
"Badenoch criticises Starmer for going to Cop30, claiming other leaders from 'serious' countries were staying away",actor-actor,Conservative Party,opposition,Labour Party,Cop30 attendance,gptlarge_baseline
"Reeves and the prime minister, Keir Starmer, have been looking for ways to bring energy bills down by an average of £170 a year, having promised before the election to cut them by £300",actor-actor,Labour Party,support,NA,reducing energy bills,gptlarge_baseline
"Stern told The Times his message to the Tories, who have joined Reform UK in calling to scrap Britain's 2050 net zero target, was that renewables and green technology were ""your growth story"".",actor-actor,Lord Stern of Brentford,opposition,Conservative Party,scrapping Britain's 2050 net zero target,gptlarge_baseline
"The number of solar panels installed in Britain this year has reached a record level, largely thanks to new housing developments",NA,NA,NA,NA,NA,gptlarge_baseline
"Unveiling Britain's revamped energy strategy in 2022, Boris Johnson declared: ""We're going to produce vastly more hydrogen, which is easy to store, ready to go whenever we need it, and is a low‑carbon superfuel of the future.""",actor-issue,Conservative Party,support,NA,hydrogen production,gptlarge_baseline
It is the mother who has to walk 10km to get water,NA,NA,NA,NA,NA,gptlarge_baseline
"Clearly energy companies will need to communicate to their customers about what is happening to their bills in April, but exactly how we do that is quite complicated.",NA,NA,NA,NA,NA,gptlarge_baseline
"Last year, the National Audit Office warned of fraud and poor quality in some of the work undertaken under the scheme.",actor-actor,National Audit Office,opposition,NA,fraud and poor quality in the scheme,gptlarge_baseline
"This is because, despite the plan to move away from gas for home heating, the network needs billions of pounds of investment to remain reliable and safe during this transition period.",NA,NA,NA,NA,NA,gptlarge_baseline
"Tackling the climate emergency is the key issue that could turn the tide against hard‑right populists across the world, the UK’s energy secretary has said.",actor-actor,Labour,support,NA,climate emergency,gptlarge_baseline
"It matters precisely because of the cost of living, because if we are going to create good jobs for the future, this is the biggest potential opportunity we have,"" he said.",actor-issue,Labour,support,NA,cost of living,gptlarge_baseline
"Claire Coutinho, the Conservative shadow energy secretary, said: ""There are 29 million families who were promised that Labour would cut their bills by £300, but ... this plan will benefit very few of those families"".",actor-actor,Conservative Party,opposition,Labour Party,cutting household energy bills,gptlarge_baseline
Gas bills are also expected to rise.. so is it all bad news?,NA,NA,NA,NA,NA,gptlarge_baseline
"Your electricity bill in 2030 Wholesale Network New levies Generation subsidies Miscellaneous Now £7 £324 £207 £186 £241 £966 2030 £38 £269 £342 £158 £237 £1,045 Based on 3,100 kWh annual usage",NA,NA,NA,NA,NA,gptlarge_baseline
"Reform UK said that Labour's manifesto pledge to reduce energy bills lay ""in tatters"", adding that the new proposal ""drives the final nail into that broken promise"".",actor-actor,Reform UK,opposition,Labour,reducing energy bills pledge,gptlarge_baseline
"Today that target looks dead in the water, amid slow progress and setbacks that culminated this month in BP scrapping Britain's biggest clean hydrogen project",NA,NA,NA,NA,NA,gptlarge_baseline
The company said this was likely to indicate 'incorrect installation or maintenance'.,actor-actor,QBE,opposition,NA,incorrect installation or maintenance of solar panels,gptlarge_baseline
The government is offering subsidies to selected hydrogen developers to help bridge the gap between their costs and the price customers are willing to pay,actor-actor,UK government,support,hydrogen developers,hydrogen development,gptlarge_baseline
"Sam Alvis, the head of energy and environment at the Institute of Public Policy Research thinktank, said: “The urge to get bills down is the right one, everything should be on the table.”",actor-actor,Institute of Public Policy Research,support,NA,reducing bills,gptlarge_baseline
has been shelved by all but the most faithful,actor-issue,UK government,opposition,NA,hydrogen for home heating,gptlarge_baseline
"The chancellor added the economic challenges facing the UK – including global tariffs, sticky inflation, volatile supply chains and defence spending – had got worse since last year’s financial statement.",actor-actor,Labour,ambivalent,NA,economic challenges facing the UK,gptlarge_baseline
"Keir Starmer is understood to be particularly worried about the impact of an expected £100 rise in energy bills next spring, and wants to do enough to eliminate that and bring down costs even further.",actor-actor,Labour,support,energy bills,energy bills,gptlarge_baseline
"Energy industry experts, however, warn that by taking the support away ministers will slow the transition from gas boilers to more expensive but cleaner heat pumps.",actor-issue,Energy industry experts,opposition,NA,slow the transition from gas boilers to more expensive but cleaner heat pumps,gptlarge_codebook
"Well-insulated homes are cheap to run – in the best, heating bills are minimal – and pleasant to live in, especially for older people, children and those with health problems, but installing insulation is easy to get wrong.",NA,NA,NA,NA,NA,gptlarge_codebook
Related: Prospect of breaking 50-year income tax taboo shows scale of Reeves’s challenge,NA,NA,NA,NA,NA,gptlarge_codebook
"Even if everything is exploding around him, he has a plan and knows the direction we’re going in,” they added.",actor-actor,they,support,him,NA,gptlarge_codebook
"Miliband spoke as world leaders have been meeting in Belém, Brazil, before the crucial Cop30 conference begins on Monday, at which governments of every stripe will attempt to forge a pathway that limits global temperatures and avoids the ravages of climate breakdown.",NA,NA,NA,NA,NA,gptlarge_codebook
"This week, the government set out its long-awaited “warm homes plan” , a £15bn investment to help reduce bills and increase clean energy",actor-issue,the government,support,NA,reduce bills,gptlarge_codebook
"This week, the government set out its long-awaited “warm homes plan” , a £15bn investment to help reduce bills and increase clean energy",actor-issue,the government,support,NA,increase clean energy,gptlarge_codebook
"Labour's biggest green donor has described a government push for ""zerobill homes"" a ""silly concept"" and called for poorer households to be singled out for support.",actor-issue,Labour's biggest green donor,opposition,NA,"government push for ""zerobill homes""",gptlarge_codebook
"Labour's biggest green donor has described a government push for ""zerobill homes"" a ""silly concept"" and called for poorer households to be singled out for support.",actor-issue,Labour's biggest green donor,support,NA,poorer households being singled out for support,gptlarge_codebook
"Among those measures, according to sources briefed on the budget preparations, is a plan to take energy efficiency levies off bills and fund them through the government’s existing warm homes plan.",actor-issue,,support,NA,take energy efficiency levies off bills,gptlarge_codebook
"However, there have been concerns about the increased risk of fires from the appliances",NA,NA,NA,NA,NA,gptlarge_codebook
Reeves is finalising a multibillion pound energy support package that is likely to cut taxes and green levies from people’s bills as she looks to save as much as £170 from the average bill.,actor-issue,Reeves,support,NA,cut taxes,gptlarge_codebook
Reeves is finalising a multibillion pound energy support package that is likely to cut taxes and green levies from people’s bills as she looks to save as much as £170 from the average bill.,actor-issue,Reeves,support,NA,cut green levies,gptlarge_codebook
"Miliband’s words also seemed aimed at some within his own party, who have sought in backroom briefings to play down the UK’s climate policies for fear of having them targeted by Reform",actor-actor,Miliband,opposition,some within his own party,play down the UK’s climate policies,gptlarge_codebook
"Miliband’s words also seemed aimed at some within his own party, who have sought in backroom briefings to play down the UK’s climate policies for fear of having them targeted by Reform",actor-issue,Miliband,opposition,NA,play down the UK’s climate policies,gptlarge_codebook
"Miliband’s words also seemed aimed at some within his own party, who have sought in backroom briefings to play down the UK’s climate policies for fear of having them targeted by Reform",actor-issue,some within his own party,support,NA,play down the UK’s climate policies,gptlarge_codebook
"It would leave Britain vulnerable to the whims of fossil fuel despots, put thousands of jobs at risk and blow a hole clean through the UK’s plans for climate action.",NA,It,NA,NA,NA,gptlarge_codebook
"Rachel Reeves, the chancellor, is planning to announce a series of measures to bring down energy bills amid concerns the country’s stubbornly high cost of living is driving millions of voters to Reform UK.",actor-issue,"Rachel Reeves, the chancellor",support,NA,bring down energy bills,gptlarge_codebook
"Another piece of the jigsaw is pure hydrogen pipelines, ensuring that production plants aren't reliant on customers next door and can supply a network of businesses",NA,NA,NA,NA,NA,gptlarge_codebook
The projects falling away right now aren't really that big a concern.,NA,NA,NA,NA,NA,gptlarge_codebook
"These are the people that can least afford solar panels, probably.",NA,NA,NA,NA,NA,gptlarge_codebook
Hydrogen is seen as a superfuel because it doesn't give off harmful emissions when burnt,NA,NA,NA,NA,NA,gptlarge_codebook
"He said the world should not give up on limiting global heating to the crucial 1.5C threshold, as we could be on the verge of a rapid global shift to clean energy that will defy predictions of doom.",actor-issue,He,support,NA,limiting global heating to the crucial 1.5C threshold,gptlarge_codebook
But the Institute for Fiscal Studies has pointed out that these savings will be quickly eroded by other rising energy costs.,actor-issue,the Institute for Fiscal Studies,opposition,NA,rising energy costs,gptlarge_codebook
"The chancellor is hoping her focus on reducing energy bills will help bolster Labour’s slump in the polls, dent the appeal of Reform UK and mitigate the impact of widely expected tax rises in the autumn budget.",actor-actor,The chancellor,support,Labour,Labour’s slump in the polls,gptlarge_codebook
"The chancellor is hoping her focus on reducing energy bills will help bolster Labour’s slump in the polls, dent the appeal of Reform UK and mitigate the impact of widely expected tax rises in the autumn budget.",actor-actor,The chancellor,opposition,Reform UK,appeal of Reform UK,gptlarge_codebook
"The chancellor is hoping her focus on reducing energy bills will help bolster Labour’s slump in the polls, dent the appeal of Reform UK and mitigate the impact of widely expected tax rises in the autumn budget.",actor-issue,The chancellor,opposition,NA,widely expected tax rises in the autumn budget,gptlarge_codebook
"He added: “The risk here is that, like winter fuel payments, the additional benefit of cutting support schemes for clean technology isn’t noticed by the majority, but really is by those that lose out.”",actor-issue,He,opposition,NA,cutting support schemes for clean technology,gptlarge_codebook
"As political hostages to fortune go, Ed Miliband's pledge to cut household energy bills by £300 a year by 2030 was, as they say in Whitehall, ""unwise"".",actor-issue,they,opposition,NA,cut household energy bills by £300 a year by 2030,gptlarge_codebook
"The findings were mirrored in analysis for The Times carried out last month, which found households will still be paying more for energy by the end of the decade than they were when Labour came to power last year.",NA,NA,NA,NA,NA,gptlarge_codebook
"Leo Vincent, a senior policy adviser at the E3G thinktank, said: “If this is really what the government is planning, it is robbing Peter to pay Paul”.",actor-actor,Leo Vincent,opposition,the government,NA,gptlarge_codebook
The problem of the last 14 years is that political expediency always came above the national interest,NA,NA,NA,NA,NA,gptlarge_codebook
"As I am here, scores of people are being searched for after being buried under a landslide",NA,,NA,NA,NA,gptlarge_codebook
"The Treasury declined to comment on budget speculation, but those in the energy industry say the plans could backfire in the longer term.",actor-issue,The Treasury,ambivalent,NA,budget speculation,gptlarge_codebook
"The Treasury declined to comment on budget speculation, but those in the energy industry say the plans could backfire in the longer term.",actor-issue,those in the energy industry,opposition,NA,the plans,gptlarge_codebook
"The rest of the savings will come from cutting levies that the government imposes on energy bills, including the energy company obligation (ECO).",NA,NA,NA,NA,NA,gptlarge_codebook
This could allow ministers to invest huge amounts to subsidise technologies like solar power and batteries that could allow some homes to eliminate almost all electricity costs by generating and storing their own www.power.No decisions have yet been made on how the fund will be spent,actor-issue,ministers,support,NA,subsidise technologies like solar power and batteries,gptlarge_codebook
"Ed Miliband, the energy secretary, promised at the general election that household energy bills would fall by £300 by the end of the parliament.",actor-issue,"Ed Miliband, the energy secretary",support,NA,household energy bills would fall by £300,gptlarge_codebook
About a million people are expected to have bills cut as a result of the new loan scheme,NA,,NA,NA,NA,gptlarge_codebook
"The move will mean restricting heat-pump subsidies so that only those receiving certain benefits will be allowed to claim them, sharply bringing down costs to the government.",actor-issue,The move,opposition,heat-pump subsidies,restricting heat-pump subsidies,gptlarge_codebook
This is a disastrous sticking plaster ‘solution’ that would let down working families across the country who need the security of predictable and low bills.,actor-issue,Leo Vincent,opposition,NA,cutting support schemes for clean technology,gptlarge_codebook
"Some of the wording in the plan seems to deprioritise insulation,” said Christopher Hammond, the chief executive of UK100, a group of local government leaders for climate action",actor-issue,Christopher Hammond,opposition,NA,deprioritise insulation,gptlarge_codebook
"We can help the world in its the transition to clean energy,” he said.",actor-issue,We,support,NA,transition to clean energy,gptlarge_codebook
"Also, solar panels have dropped rapidly in price to about £6,000 including installation for the average house, and are now available in forms such as DIY plug-in sets and balcony panels",NA,NA,NA,NA,NA,gptlarge_codebook
"Those consulted on the plans say the chancellor is particularly looking at reducing or eliminating the energy company obligation, under which energy firms help pay for home improvement measures such as insulation and new heating schemes",actor-actor,Those consulted on the plans,ambivalent,the chancellor,reducing or eliminating the energy company obligation,gptlarge_codebook
I think if we're in the late 2030s and we still haven't figured out how to make hydrogen cheaply then I'll be worried ?,actor-issue,I,support,NA,making hydrogen cheaply,gptlarge_codebook
"That has been the experience of tens of thousands of households after what MPs have condemned as the “catastrophic failure” of the energy company obligation (Eco) insulation programme run by the last Conservative government, the results of which have only recently been uncovered.",actor-issue,MPs,opposition,NA,catastrophic failure of the energy company obligation (Eco) insulation programme,gptlarge_codebook
"So why is this, what is driving up prices and is there anything the government can do to get back on track?.",NA,NA,NA,NA,NA,gptlarge_codebook
"Rightwing parties were winning elections and topping polls because “people are deeply unhappy with the status quo”, he said",NA,NA,NA,NA,NA,gptlarge_codebook
"Lula da Silva, the president of host nation Brazil, said: “It took 28 climate Cops for us to commit, in Dubai, to a just, orderly and equitable energy transition”.",actor-issue,Lula da Silva,support,NA,"a just, orderly and equitable energy transition",gptlarge_codebook
"Dale Vince, the renewable energy magnate who has donated more than £6 million to the Labour Party, also said that plans to roll out cheap loans for households should be restricted to solar panels.",actor-issue,Dale Vince,opposition,NA,plans to roll out cheap loans for households should be restricted to solar panels,gptlarge_codebook
"Hammond said the best way to ensure quality was for local governments to work closely with local suppliers over the long term, building relationships and trust so that problems could be rectified and work of a high standard replicated across areas, potentially through “street by street” retrofit programmes.",actor-actor,local governments,support,local suppliers,street by street retrofit programmes,gptlarge_codebook
"The Department for Energy Security and Net Zero said: ""This is nonsense - families will see an average of £150 in costs off their bill this April thanks to government action which has been welcomed by Martin Lewis [the consumer finance expert] and Citizens Advice""",actor-actor,The Department for Energy Security and Net Zero,support,government action,NA,gptlarge_codebook
"At the budget in November, Rachel Reeves said: ""We are keeping our promise to get energy bills down and cut the cost of living, with £150 cut from the average household energy bill from April.""",actor-issue,Rachel Reeves,support,NA,"get energy bills down and cut the cost of living, with £150 cut from the average household energy bill",gptlarge_codebook
"However, while BP's was selected as a priority project to receive government support and store its emissions under the North Sea, H2NorthEast is still awaiting selection",NA,NA,NA,NA,NA,gptlarge_codebook
What's worse is that Ed Miliband and his ministers are ignoring the core problem: that Britain has the highest electricity prices in the world and their plans to decarbonise at breakneck speed will send prices even higher whilst lining the pockets of wind developers.,actor-issue,Ed Miliband and his ministers,opposition,NA,Britain has the highest electricity prices in the world,gptlarge_codebook
What's worse is that Ed Miliband and his ministers are ignoring the core problem: that Britain has the highest electricity prices in the world and their plans to decarbonise at breakneck speed will send prices even higher whilst lining the pockets of wind developers.,actor-issue,Ed Miliband and his ministers,opposition,NA,their plans to decarbonise at breakneck speed will send prices even higher,gptlarge_codebook
Reeves and the prime minister have identified high energy bills as being a major source of financial pressure for voters and are planning a relief package likely to cost about £3bn a year.,actor-issue,Reeves,opposition,NA,high energy bills,gptlarge_codebook
Reeves and the prime minister have identified high energy bills as being a major source of financial pressure for voters and are planning a relief package likely to cost about £3bn a year.,actor-issue,the prime minister,opposition,NA,high energy bills,gptlarge_codebook
Reeves and the prime minister have identified high energy bills as being a major source of financial pressure for voters and are planning a relief package likely to cost about £3bn a year.,actor-issue,Reeves,support,NA,relief package,gptlarge_codebook
Reeves and the prime minister have identified high energy bills as being a major source of financial pressure for voters and are planning a relief package likely to cost about £3bn a year.,actor-issue,the prime minister,support,NA,relief package,gptlarge_codebook
The Earth can no longer sustain the development model based on the intensive use of fossil fuels that has prevailed for the last 200 years.,NA,NA,NA,NA,NA,gptlarge_codebook
"In a sign of internal government concerns over the possible market reaction, Labour has organised a series of pre-budget “economic insight sessions” for Labour MPs with economists and former ministers in recent weeks.",actor-issue,Labour,support,NA,possible market reaction,gptlarge_codebook
"Part of the answer could be in the pipelines Butterworth's company operates; it has been carrying out trials to prove that hydrogen can be safely blended in with natural gas, and the government has consulted on a ""minded-to"" position to allow up to 2 per cent of blending",actor-issue,Butterworth's company,support,NA,hydrogen can be safely blended in with natural gas,gptlarge_codebook
"Part of the answer could be in the pipelines Butterworth's company operates; it has been carrying out trials to prove that hydrogen can be safely blended in with natural gas, and the government has consulted on a ""minded-to"" position to allow up to 2 per cent of blending",actor-issue,government,support,NA,allow up to 2 per cent of blending hydrogen with natural gas,gptlarge_codebook
"Speaking in Brazil, the energy secretary said acting to rein in the greenhouse gas emissions driving global warming would create jobs and protect future generations.",actor-issue,the energy secretary,support,NA,acting to rein in the greenhouse gas emissions driving global warming,gptlarge_codebook
"And, because Miliband has set a 2030 deadline to produce almost all of our power from clean sources, many of these costs are on bills sooner and higher than they otherwise would be.",actor-issue,Miliband,support,NA,produce almost all of our power from clean sources by 2030,gptlarge_codebook
This will be achieved by removing levies used to subsidise older renewable energy projects from bills and shifting the costs to general taxation instead.,actor-issue,This,support,NA,removing levies used to subsidise older renewable energy projects from bills,gptlarge_codebook
"He urged world leaders to find funds to support vulnerable nations, saying climate finance was their main hope now that governments were cutting overseas development aid.",actor-actor,He,support,world leaders,climate finance,gptlarge_codebook
"When BP pulled the plug on H2Teesside, the most eye‑catching reason it gave was it was up against a rival proposal to build a data centre on the same site, which had won planning consent",actor-actor,BP,opposition,H2Teesside,NA,gptlarge_codebook
"""Labour's Green Prosperity Plan (will) create 650,000 good jobs, cut bills by £300 on average and deliver real energy security,"" the party stated.",actor-issue,Labour's Green Prosperity Plan,support,NA,"create 650,000 good jobs",gptlarge_codebook
"""Labour's Green Prosperity Plan (will) create 650,000 good jobs, cut bills by £300 on average and deliver real energy security,"" the party stated.",actor-issue,Labour's Green Prosperity Plan,support,NA,cut bills by £300 on average,gptlarge_codebook
"""Labour's Green Prosperity Plan (will) create 650,000 good jobs, cut bills by £300 on average and deliver real energy security,"" the party stated.",actor-issue,Labour's Green Prosperity Plan,support,NA,deliver real energy security,gptlarge_codebook
"He also pointed out the positive story of the green energy revolution in Africa, noting that Kenya already gets 93% of its electricity from clean energy and was a vital source of critical minerals needed for wind turbines, solar panels and batteries",actor-issue,He,support,NA,green energy revolution in Africa,gptlarge_codebook
"Richard Tice, the party's deputy leader, said the move was part of Miliband's ""fanatical net-zero crusade"" that would pile ""even more pain on to households that have already been stung by energy bills soaring by hundreds of pounds"".",actor-issue,Richard Tice,opposition,NA,fanatical net-zero crusade,gptlarge_codebook
"Richard Tice, the party's deputy leader, said the move was part of Miliband's ""fanatical net-zero crusade"" that would pile ""even more pain on to households that have already been stung by energy bills soaring by hundreds of pounds"".",actor-issue,Richard Tice,opposition,NA,energy bills soaring by hundreds of pounds,gptlarge_codebook
"Another industry source said the government wanted energy suppliers to help ministers ""take the credit for the cut in bills"", adding: ""They made it clear that, when we communicated to our customers about the April price drop we [should] say that it is because of the wonderful government""",actor-actor,the government,support,energy suppliers,cut in bills,gptlarge_codebook
"Today that target looks dead in the water, amid slow progress and setbacks that culminated this month in BP scrapping Britain's biggest clean hydrogen project",actor-issue,BP,opposition,NA,Britain's biggest clean hydrogen project,gptlarge_codebook
Hundreds of thousands of homeowners will lose their right to subsidies for eco-friendly heat pumps as a result of government plans to bring down energy bills at the budget.,NA,NA,NA,NA,NA,gptlarge_codebook
"She said countries were shifting to clean energy faster than implied by their climate targets, some of which she said had been less ambitious than planned because of ""the bullying we see from Washington""",actor-issue,She,support,NA,countries were shifting to clean energy faster than implied by their climate targets,gptlarge_codebook
"She said countries were shifting to clean energy faster than implied by their climate targets, some of which she said had been less ambitious than planned because of ""the bullying we see from Washington""",actor-actor,She,opposition,Washington,NA,gptlarge_codebook
"Almost 250,000 rooftop solar installations were carried out, meaning 1.6 million homes - or about 1 in 20 households - now have the technology.",NA,NA,NA,NA,NA,gptlarge_codebook
"During the most recent call, on Thursday last week, staff at the Department for Energy Security and Net Zero implored companies to help ministers ""take the credit for the cut in bills"".",actor-actor,staff at the Department for Energy Security and Net Zero,support,companies,take the credit for the cut in bills,gptlarge_codebook
"During the most recent call, on Thursday last week, staff at the Department for Energy Security and Net Zero implored companies to help ministers ""take the credit for the cut in bills"".",actor-issue,staff at the Department for Energy Security and Net Zero,support,NA,take the credit for the cut in bills,gptlarge_codebook
"The Cop30 negotiations will carry on for two weeks, discussing how to “transition away from fossil fuels”, protect global forests and raise the money needed to rescue poor countries from catastrophe",NA,NA,NA,NA,NA,gptlarge_codebook
"A book published on November 5 by Lord Stern of Brentford, a renowned economist who produced a climate report for Gordon Brown, said action on climate change was not an obstacle to prosperity but ""the only really sensible way of driving growth""",actor-issue,"A book published on November 5 by Lord Stern of Brentford, a renowned economist who produced a climate report for Gordon Brown",support,NA,action on climate change,gptlarge_codebook
"The sector] needs certainty and security now if any meaningful progress on tackling fuel poverty and driving down home heating bills is going to be made in this parliament,” she added.",actor-issue,The sector,support,NA,tackling fuel poverty and driving down home heating bills,gptlarge_codebook
Key to success for the meeting will be plotting a future course towards holding down global temperatures as far as possible,NA,NA,NA,NA,NA,gptlarge_codebook
"The Labour government has appeared to share its predecessors' enthusiasm, describing hydrogen as ""essential to achieve the government's clean energy superpower and growth missions"".",actor-issue,The Labour government,support,NA,hydrogen as essential to achieve the government's clean energy superpower and growth missions,gptlarge_codebook
"The fortnight-long conference, which starts today, is effectively the deadline by which nations must present plans for cutting emissions, but is taking place in the shadow of a backlash led by President www.Trump.No highlevel American official is at the summit, despite the US being the world's second-biggest source of greenhouse gas emissions after China.",actor-actor,President www.Trump,support,backlash,NA,gptlarge_codebook
"Current national plans on emissions cuts from big countries would lead to temperature rises of 2.5C above preindustrial levels, which would spell devastation and extreme weather around the world",NA,NA,NA,NA,NA,gptlarge_codebook
"The chancellor also scrapped what she described as a ""failed scheme"" to improve the energy efficiency of poorer households, which was also funded through bills.",actor-issue,The chancellor,opposition,NA,improve the energy efficiency of poorer households,gptlarge_codebook
"Badenoch criticises Starmer for going to Cop30, claiming other leaders from 'serious' countries were staying away",actor-actor,Badenoch,opposition,Starmer,going to Cop30,gptlarge_codebook
"Badenoch criticises Starmer for going to Cop30, claiming other leaders from 'serious' countries were staying away",actor-issue,Badenoch,opposition,NA,going to Cop30,gptlarge_codebook
"Reeves and the prime minister, Keir Starmer, have been looking for ways to bring energy bills down by an average of £170 a year, having promised before the election to cut them by £300",actor-issue,"Reeves and the prime minister, Keir Starmer",support,NA,bring energy bills down by an average of £170 a year,gptlarge_codebook
"Stern told The Times his message to the Tories, who have joined Reform UK in calling to scrap Britain's 2050 net zero target, was that renewables and green technology were ""your growth story"".",actor-issue,Stern,support,NA,renewables and green technology,gptlarge_codebook
"Stern told The Times his message to the Tories, who have joined Reform UK in calling to scrap Britain's 2050 net zero target, was that renewables and green technology were ""your growth story"".",actor-issue,the Tories,opposition,NA,scrap Britain's 2050 net zero target,gptlarge_codebook
"The number of solar panels installed in Britain this year has reached a record level, largely thanks to new housing developments",NA,NA,NA,NA,NA,gptlarge_codebook
"Unveiling Britain's revamped energy strategy in 2022, Boris Johnson declared: ""We're going to produce vastly more hydrogen, which is easy to store, ready to go whenever we need it, and is a low-carbon superfuel of the future.""",actor-issue,Boris Johnson,support,NA,"produce vastly more hydrogen, which is easy to store, ready to go whenever we need it, and is a low-carbon superfuel of the future",gptlarge_codebook
It is the mother who has to walk 10km to get water,NA,NA,NA,NA,NA,gptlarge_codebook
"Clearly energy companies will need to communicate to their customers about what is happening to their bills in April, but exactly how we do that is quite complicated.",actor-issue,energy companies,ambivalent,NA,communicating to customers about what is happening to their energy bills in April,gptlarge_codebook
"Last year, the National Audit Office warned of fraud and poor quality in some of the work undertaken under the scheme.",actor-issue,the National Audit Office,opposition,NA,fraud and poor quality in some of the work undertaken under the scheme,gptlarge_codebook
"This is because, despite the plan to move away from gas for home heating, the network needs billions of pounds of investment to remain reliable and safe during this transition period.",actor-issue,the network,support,NA,investment to remain reliable and safe during this transition period,gptlarge_codebook
"Speaking on the eve of the UN’s climate summit, Ed Miliband said it was the cause progressives could rally around, because most people recognise populist parties have got it wrong.",actor-issue,Ed Miliband,support,NA,the 1.5°C target,gptlarge_codebook
"""It matters precisely because of the cost of living, because if we are going to create good jobs for the future, this is the biggest potential opportunity we have,"" he said.",actor-issue,he,support,NA,cost of living,gptlarge_codebook
"Claire Coutinho, the Conservative shadow energy secretary, said: ""There are 29 million families who were promised that Labour would cut their bills by £300, but ... this plan will benefit very few of those families""",actor-actor,Claire Coutinho,opposition,Labour,cut their bills by £300,gptlarge_codebook
Gas bills are also expected to rise.. so is it all bad news?,NA,,NA,NA,NA,gptlarge_codebook
"Your electricity bill in 2030 Wholesale Network New levies Generation subsidies Miscellaneous Now £7 £324 £207 £186 £241 £966 2030 £38 £269 £342 £158 £237 £1,045 Based on 3,100 kWh annual usage",NA,NA,NA,NA,NA,gptlarge_codebook
"Reform UK said that Labour's manifesto pledge to reduce energy bills lay ""in tatters"", adding that the new proposal ""drives the final nail into that broken promise"".",actor-actor,Reform UK,opposition,Labour,reduce energy bills,gptlarge_codebook
"Reform UK said that Labour's manifesto pledge to reduce energy bills lay ""in tatters"", adding that the new proposal ""drives the final nail into that broken promise"".",actor-issue,Reform UK,opposition,NA,reduce energy bills,gptlarge_codebook
"""I think it's probably fair to say that 10 gigawatts by 2030 is undeliverable,"" says Clare Jackson, chief executive of Hydrogen UK, a trade body.",actor-issue,Clare Jackson,opposition,NA,10 gigawatts by 2030,gptlarge_codebook
"The company said this was likely to indicate ""incorrect installation or maintenance"".",actor-issue,The company,opposition,NA,incorrect installation or maintenance,gptlarge_codebook
The government is offering subsidies to selected hydrogen developers to help bridge the gap between their costs and the price customers are willing to pay,actor-issue,The government,support,NA,subsidies to selected hydrogen developers to help bridge the gap between their costs and the price customers are willing to pay,gptlarge_codebook
"Sam Alvis, the head of energy and environment at the Institute of Public Policy Research thinktank, said: “The urge to get bills down is the right one, everything should be on the table.”",actor-issue,Sam Alvis,support,NA,the urge to get bills down,gptlarge_codebook
has been shelved by all but the most faithful,actor-issue,all but the most faithful,opposition,NA,producing enough hydrogen to use it for home heating,gptlarge_codebook
"The chancellor added the economic challenges facing the UK – including global tariffs, sticky inflation, volatile supply chains and defence spending – had got worse since last year’s financial statement.",actor-issue,The chancellor,opposition,NA,"global tariffs, sticky inflation, volatile supply chains and defence spending",gptlarge_codebook
"Keir Starmer is understood to be particularly worried about the impact of an expected £100 rise in energy bills next spring, and wants to do enough to eliminate that and bring down costs even further.",actor-issue,Keir Starmer,opposition,NA,expected £100 rise in energy bills next spring,gptlarge_codebook
"Keir Starmer is understood to be particularly worried about the impact of an expected £100 rise in energy bills next spring, and wants to do enough to eliminate that and bring down costs even further.",actor-issue,Keir Starmer,support,NA,eliminating the £100 rise and bringing down energy costs,gptlarge_codebook
"Energy industry experts, however, warn that by taking the support away ministers will slow the transition from gas boilers to more expensive but cleaner heat pumps.",actor-actor,Energy industry experts,opposition,Ministers,transition from gas boilers to cleaner heat pumps,gptlarge_fewshot
"Well-insulated homes are cheap to run – in the best, heating bills are minimal – and pleasant to live in, especially for older people, children and those with health problems, but installing insulation is easy to get wrong.",NA,NA,NA,NA,NA,gptlarge_fewshot
Related: Prospect of breaking 50-year income tax taboo shows scale of Reeves’s challenge,NA,NA,NA,NA,NA,gptlarge_fewshot
"Even if everything is exploding around him, he has a plan and knows the direction we’re going in,” they added.",actor-actor,Government sources,support,Prime Minister,direction we’re going in,gptlarge_fewshot
"Miliband spoke as world leaders have been meeting in Belém, Brazil, before the crucial Cop30 conference begins on Monday, at which governments of every stripe will attempt to forge a pathway that limits global temperatures and avoids the ravages of climate breakdown.",actor-issue,governments,support,NA,limiting global temperatures (climate change mitigation),gptlarge_fewshot
"This week, the government set out its long-awaited “warm homes plan”, a £15bn investment to help reduce bills and increase clean energy.",actor-issue,UK Government,support,NA,warm homes plan (investment to reduce household bills and increase clean energy),gptlarge_fewshot
"Labour's biggest green donor has described a government push for ""zerobill homes"" a ""silly concept"" and called for poorer households to be singled out for support.",actor-issue,Labour Party,opposition,NA,government push for zerobill homes,gptlarge_fewshot
"Labour's biggest green donor has described a government push for ""zerobill homes"" a ""silly concept"" and called for poorer households to be singled out for support.",actor-issue,Labour Party,support,NA,singling out poorer households for support,gptlarge_fewshot
