sentence;type;subject;subject_organisation;direction;object;object_organisation;issue;issue_cat;model;prompt;match_type ;match_subject ;match_direction ;match_object;match_issue ;match_whole ;match_cat;cs_id
"She said countries were shifting to clean energy faster than implied by their climate targets, some of which she said had been less ambitious than planned because of ""the bullying we see from Washington""";actor-actor;She;UNFCCC;opposition;Washington;US government;NA;NA;gpt120;codebook;;;;;;;;99
Almost 250,000 rooftop solar installations were carried out, meaning 1.6 million homes - or about 1 in 20 households - now have the technology.;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
The Cop30 negotiations will carry on for two weeks, discussing how to “transition away from fossil fuels”, protect global forests and raise the money needed to rescue poor countries from catastrophe;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
Key to success for the meeting will be plotting a future course towards holding down global temperatures as far as possible;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
The fortnight-long conference, which starts today, is effectively the deadline by which nations must present plans for cutting emissions, but is taking place in the shadow of a backlash led by President www.Trump.No highlevel American official is at the summit, despite the US being the world's second-biggest source of greenhouse gas emissions after China.;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
Current national plans on emissions cuts from big countries would lead to temperature rises of 2.5C above preindustrial levels, which would spell devastation and extreme weather around the world;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
The number of solar panels installed in Britain this year has reached a record level, largely thanks to new housing developments;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
It is the mother who has to walk 10km to get water;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
Last year, the National Audit Office warned of fraud and poor quality in some of the work undertaken under the scheme.;actor-issue;National Audit Office;National Audit Office;opposition;NA;NA;fraud and poor quality in work under the scheme;GOVERNANCE;gpt120;codebook;;;;;;;;99
This is because, despite the plan to move away from gas for home heating, the network needs billions of pounds of investment to remain reliable and safe during this transition period.;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
Gas bills are also expected to rise.. so is it all bad news?;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
Your electricity bill in 2030 Wholesale Network New levies Generation subsidies Miscellaneous Now £7 £324 £207 £186 £241 £966 2030 £38 £269 £342 £158 £237 £1,045 Based on 3,100 kWh annual usage < Source: www.electricitybills.uk;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
"The company said this was likely to indicate ""incorrect installation or maintenance"".";actor-issue;QBE;QBE;opposition;NA;NA;incorrect installation or maintenance of solar panels;CONSTRUCTION;gpt120;codebook;;;;;;;;99
The chancellor added the economic challenges facing the UK – including global tariffs, sticky inflation, volatile supply chains and defence spending – had got worse since last year’s financial statement.;actor-issue;The chancellor;Conservative Party;opposition;NA;NA;economic challenges facing the UK (global tariffs, sticky inflation, volatile supply chains and defence spending);ECONOMIC STRUCTURE;gpt120;codebook;;;;;;;;99
